"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180101 ~ 20180630"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 송파구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201801","11~20","68,500","5","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","21~31","82,000","6","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201801","21~31","78,000","2","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201801","21~31","70,800","14","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201801","21~31","74,300","16","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201802","1~10","85,000","7","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201802","1~10","79,250","10","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201802","1~10","73,000","19","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201802","11~20","84,200","19","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201803","11~20","75,500","21","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201804","1~10","85,500","6","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201804","1~10","74,000","8","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","201804","1~10","67,000","10","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201805","1~10","84,300","9","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201805","21~31","84,000","20","1997","송파대로32길"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","85","201806","1~10","85,000","5","1997","송파대로32길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","64.26","201801","1~10","58,000","8","1986","동남로11길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","83.58","201801","1~10","68,500","2","1986","동남로11길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","83.58","201802","1~10","83,000","9","1986","동남로11길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","50","201802","1~10","54,500","14","1986","동남로11길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","50","201803","1~10","57,000","5","1986","동남로11길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","50","201803","1~10","59,300","12","1986","동남로11길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","50","201803","1~10","57,000","11","1986","동남로11길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","64.26","201803","1~10","69,500","4","1986","동남로11길"
"서울특별시 송파구 가락동","138","0138","0000","가락미륭아파트","50","201803","1~10","59,600","12","1986","동남로11길"
"서울특별시 송파구 가락동","8","0008","0000","가락스타클래스","115.94","201802","11~20","81,000","11","2007","오금로"
"서울특별시 송파구 가락동","8","0008","0000","가락스타클래스","115.94","201804","1~10","77,500","5","2007","오금로"
"서울특별시 송파구 가락동","8","0008","0000","가락스타클래스","115.94","201804","21~30","79,500","7","2007","오금로"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","1~10","69,000","22","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","1~10","69,500","12","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","1~10","70,000","13","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","1~10","69,700","18","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201801","11~20","60,000","5","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201801","11~20","58,750","12","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","11~20","68,000","19","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","11~20","73,800","9","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","11~20","74,500","8","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","11~20","75,000","22","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","11~20","75,000","16","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","11~20","72,000","20","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","11~20","71,000","17","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201801","21~31","72,000","19","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201801","21~31","65,000","14","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201802","1~10","74,000","9","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201802","1~10","67,000","19","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201802","1~10","73,000","1","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201802","11~20","65,000","22","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201802","11~20","68,000","1","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201802","21~28","67,500","22","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201803","21~31","67,000","9","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201803","21~31","67,100","14","1999","송이로15길"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","201804","1~10","64,500","13","1999","송이로15길"
